Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2012-02-02,14.3,14.5,14.2,14.46,14.3610965274,53332.0,145.0,765906.0,53332.0,100.0,0.3,0.16
2012-02-03,14.25,15.18,14.25,15.18,15.0242819939,163578.0,243.0,2457642.0,163578.0,100.0,0.93,0.93
2012-02-06,15.9,15.9,14.9,14.95,15.1668466365,68530.0,215.0,1039384.0,68530.0,100.0,1.0,-0.95
2012-02-07,14.9,15.0,14.55,14.59,14.7321995521,40631.0,116.0,598584.0,40631.0,100.0,0.45,-0.31
2012-02-08,14.25,14.99,14.25,14.59,14.6733972373,27437.0,77.0,402594.0,27437.0,100.0,0.74,0.34
2012-02-09,14.6,15.29,14.5,14.92,14.9895913462,41600.0,165.0,623567.0,41600.0,100.0,0.79,0.32
2012-02-10,14.95,15.5,14.71,14.94,15.0961925474,61616.0,178.0,930167.0,61616.0,100.0,0.79,-0.01
2012-02-13,15.6,15.6,14.9,15.34,15.1872789967,91062.0,372.0,1382984.0,91062.0,100.0,0.7,-0.26
2012-02-14,15.54,15.55,15.05,15.26,15.2945648704,34461.0,135.0,527066.0,34461.0,100.0,0.5,-0.28
2012-02-15,15.05,15.5,15.0,15.42,15.3998465228,52125.0,206.0,802717.0,52125.0,100.0,0.5,0.37
2012-02-16,15.05,15.5,15.05,15.34,15.3372441282,44407.0,153.0,681081.0,44407.0,100.0,0.45,0.29
2012-02-17,15.58,16.0,14.95,15.0,15.3684538507,85050.0,276.0,1307087.0,85050.0,100.0,1.05,-0.58
2012-02-21,15.0,15.35,14.8,14.98,15.0414454749,109445.0,188.0,1646211.0,109445.0,100.0,0.55,-0.02
2012-02-22,14.92,15.3,14.24,14.31,14.6796695837,87647.0,249.0,1286629.0,87647.0,100.0,1.06,-0.61
2012-02-23,14.75,14.75,13.83,14.1,14.1065028218,361643.0,159.0,5101518.0,361643.0,100.0,0.92,-0.65
2012-02-24,14.11,14.24,13.85,13.95,13.9634384063,42066.0,121.0,587386.0,42066.0,100.0,0.39,-0.16
2012-02-27,13.9,13.94,13.4,13.44,13.5663835179,42616.0,175.0,578145.0,42616.0,100.0,0.54,-0.46
2012-02-28,13.25,14.11,13.25,14.11,14.0453587756,25155.0,75.0,353311.0,25155.0,100.0,0.86,0.86
